distance_km,current_speed_kmh,hour_of_day,day_of_week,is_weekend,traffic_level,eta_minutes
5.931,23.25,14,2,0,0.534,15.55
7.159,42.01,20,3,0,0.043,11.85
1.318,34.31,23,3,0,0.282,2.32
0.834,14.6,9,3,0,0.99,4.01
1.814,16.62,18,3,0,0.806,8.07
2.973,32.2,6,1,0,0.285,7.95
12.222,21.2,8,1,0,0.639,34.89
7.68,26.74,14,2,0,0.573,17.88
10.107,33.64,1,5,1,0.156,20.45
11.739,32.78,1,1,0,0.268,22.98
13.867,38.18,7,5,1,0.059,22.76
4.435,31.44,20,1,0,0.29,9.98
4.502,31.85,14,4,0,0.322,10.3
11.683,38.32,4,1,0,0.108,18.58
13.015,19.23,7,3,0,0.732,41.43
11.079,31.93,7,5,1,0.266,22.0
2.234,27.45,13,2,0,0.528,6.12
8.08,31.89,14,1,0,0.308,15.47
0.956,38.71,6,0,0,0.094,2.1
6.451,29.71,10,4,0,0.369,13.22
4.701,32.94,21,3,0,0.279,10.74
12.153,25.84,11,3,0,0.568,29.57
12.208,38.49,6,5,1,0.033,21.08
12.981,33.51,6,5,1,0.153,24.28
3.721,19.18,18,1,0,0.735,12.94
10.694,32.44,16,5,1,0.292,22.18
4.151,37.56,1,2,0,0.09,6.76
4.54,41.68,0,0,0,0.072,6.9
7.597,33.19,5,6,1,0.202,15.55
5.833,17.26,19,1,0,0.853,21.61
1.809,39.87,0,0,0,0.096,2.76
7.925,17.28,18,3,0,0.858,27.95
10.519,34.72,6,1,0,0.251,18.7
8.351,21.95,9,2,0,0.691,23.26
14.741,21.78,19,3,0,0.704,41.08
4.544,13.84,18,2,0,0.943,20.71
13.373,13.7,19,2,0,0.974,60.02
5.898,41.61,2,0,0,0.002,8.91
8.457,35.63,21,2,0,0.196,14.84
5.218,32.51,19,6,1,0.216,10.4
8.367,39.09,18,5,1,0.08,14.42
12.025,34.02,0,3,0,0.201,23.37
3.838,26.78,15,2,0,0.472,9.3
13.311,13.09,8,4,0,0.971,62.09
14.516,31.56,2,3,0,0.256,29.72
5.095,16.51,17,0,0,0.758,20.63
13.985,28.02,13,1,0,0.485,31.8
10.607,37.06,10,5,1,0.108,17.91
12.236,32.75,2,1,0,0.26,23.67
12.075,34.62,0,5,1,0.239,23.15
5.401,34.52,1,1,0,0.132,9.78
14.737,34.57,21,1,0,0.258,26.2
1.063,36.94,14,5,1,0.161,2.41
14.496,32.16,6,3,0,0.253,27.53
6.465,36.88,2,6,1,0.042,12.38
4.137,29.99,20,5,1,0.251,10.02
6.43,40.55,0,6,1,0.075,11.17
4.559,26.01,15,4,0,0.521,11.9
9.37,39.82,22,2,0,0.074,14.15
2.183,38.6,4,6,1,0.012,5.53
10.703,24.36,11,1,0,0.529,27.52
9.922,36.31,9,5,1,0.191,16.51
5.932,20.49,18,1,0,0.8,18.91
14.186,33.34,1,0,0,0.26,27.12
12.114,27.12,11,1,0,0.472,28.85
9.576,34.12,0,0,0,0.195,17.36
4.472,37.0,11,6,1,0.113,8.09
10.008,18.74,9,1,0,0.736,32.69
7.693,35.26,20,1,0,0.189,15.1
4.59,15.67,9,4,0,0.9,19.6
14.862,27.47,15,3,0,0.412,34.79
12.947,35.44,16,6,1,0.225,23.81
1.995,16.76,16,0,0,0.802,9.38
6.143,25.42,11,4,0,0.572,14.73
5.13,34.88,13,6,1,0.285,9.94
4.752,22.42,19,2,0,0.685,15.08
11.829,34.9,6,4,0,0.279,22.76
10.476,31.36,11,0,0,0.33,20.26
10.664,13.29,9,0,0,0.929,48.36
14.806,28.83,15,4,0,0.411,32.84
14.235,28.41,12,3,0,0.405,31.01
10.724,22.29,9,1,0,0.732,29.95
4.178,18.08,17,3,0,0.829,15.93
11.291,39.16,2,4,0,0.071,18.3
7.427,38.23,23,0,0,0.067,14.14
1.57,33.33,2,2,0,0.291,4.13
9.626,37.98,13,6,1,0.136,17.46
1.159,26.34,11,1,0,0.585,4.87
7.107,35.23,20,1,0,0.056,13.56
1.627,11.37,8,3,0,0.994,10.34
8.273,31.82,0,4,0,0.244,17.88
12.427,15.81,17,2,0,0.89,48.69
6.565,34.49,23,5,1,0.26,13.89
2.681,36.1,20,1,0,0.114,6.88
12.711,25.27,12,0,0,0.441,30.32
13.038,11.1,16,4,0,1.0,72.94
8.554,31.39,4,4,0,0.283,17.48
2.373,17.35,18,4,0,0.842,8.78
10.24,37.74,1,3,0,0.081,17.47
12.555,13.42,17,3,0,0.927,58.56
1.782,40.73,16,6,1,0.009,4.39
3.588,33.82,5,3,0,0.294,7.89
9.731,31.38,14,2,0,0.327,19.74
13.702,35.33,22,1,0,0.259,25.64
2.633,35.44,23,0,0,0.148,6.91
7.643,32.18,12,5,1,0.19,14.85
1.6,37.51,22,6,1,0.175,3.01
10.599,34.45,2,2,0,0.155,20.89
9.228,12.08,18,2,0,0.929,45.93
8.456,35.06,4,0,0,0.107,16.71
2.367,32.04,12,2,0,0.312,4.64
13.167,33.39,15,4,0,0.301,25.83
1.725,32.91,2,4,0,0.296,3.74
11.519,25.42,13,1,0,0.524,27.28
4.16,37.1,6,2,0,0.269,7.0
6.987,39.64,2,2,0,0.073,11.25
5.971,36.32,9,6,1,0.097,10.16
13.413,13.97,19,0,0,0.872,59.57
7.727,29.37,14,3,0,0.461,16.86
2.35,19.94,8,4,0,0.745,8.69
8.776,29.62,23,2,0,0.296,18.03
2.716,33.7,22,3,0,0.255,5.06
12.185,33.19,23,6,1,0.253,24.32
0.577,37.24,21,0,0,0.147,2.74
12.402,37.37,1,6,1,0.161,20.43
14.536,38.2,3,2,0,0.06,24.67
8.183,33.57,0,1,0,0.23,16.95
5.149,35.58,2,0,0,0.111,9.82
8.455,20.07,9,3,0,0.681,25.63
0.539,18.29,8,2,0,0.789,3.28
12.017,14.15,16,4,0,0.932,51.4
1.464,39.73,7,5,1,0.014,4.17
12.505,32.62,4,5,1,0.24,23.59
9.689,33.32,3,0,0,0.263,18.43
12.341,33.5,6,5,1,0.27,23.2
8.874,22.13,16,0,0,0.757,25.39
1.466,14.32,7,2,0,0.817,7.97
10.559,31.47,19,6,1,0.264,21.37
11.251,37.09,3,4,0,0.046,20.06
0.986,32.37,21,1,0,0.229,4.02
5.46,41.0,5,4,0,0.033,8.37
3.824,24.88,11,4,0,0.516,10.82
10.562,36.3,3,1,0,0.076,19.73
8.959,35.35,7,6,1,0.139,17.57
2.724,40.46,12,5,1,0.03,5.52
1.982,23.56,15,3,0,0.537,5.11
9.945,18.07,16,3,0,0.75,33.5
12.644,36.64,0,6,1,0.093,21.27
9.314,26.27,14,0,0,0.523,22.78
2.157,12.58,19,0,0,0.945,12.59
7.253,35.81,1,2,0,0.136,12.5
3.058,34.23,6,3,0,0.126,7.65
5.755,38.27,10,5,1,0.066,11.46
7.155,30.54,19,5,1,0.258,15.39
3.175,35.35,6,0,0,0.093,7.39
5.566,16.1,16,4,0,0.751,22.83
9.018,37.65,0,5,1,0.214,15.58
7.707,42.06,18,6,1,0.031,11.83
1.595,36.06,2,1,0,0.081,2.72
2.764,37.09,17,6,1,0.198,4.54
3.719,33.57,23,6,1,0.202,8.28
3.954,38.69,1,2,0,0.073,7.94
12.908,23.25,10,3,0,0.583,34.12
1.76,32.23,9,6,1,0.221,5.4
2.28,16.79,18,3,0,0.857,9.71
5.37,35.43,1,2,0,0.177,9.76
9.55,36.4,5,5,1,0.109,18.18
11.807,17.57,16,1,0,0.826,42.78
7.33,23.41,16,1,0,0.609,20.37
4.239,30.42,21,5,1,0.25,10.82
8.123,29.61,12,1,0,0.382,17.15
8.536,32.48,5,1,0,0.216,16.03
2.53,37.48,5,2,0,0.179,4.49
13.759,35.05,20,3,0,0.231,24.61
5.631,38.67,21,2,0,0.055,8.91
12.638,25.23,10,3,0,0.516,30.8
8.713,34.57,1,6,1,0.199,15.66
0.952,16.8,19,2,0,0.838,3.53
7.697,28.26,12,2,0,0.4,16.53
11.059,28.1,10,1,0,0.438,23.8
1.628,24.95,11,3,0,0.59,6.32
11.955,37.55,22,0,0,0.056,20.46
13.158,35.15,7,6,1,0.242,24.58
4.12,35.77,11,6,1,0.208,7.04
10.214,29.73,9,6,1,0.3,21.4
2.248,42.29,6,0,0,0.058,3.48
6.616,32.06,17,6,1,0.259,14.45
1.037,36.62,23,2,0,0.168,2.9
13.332,25.23,10,1,0,0.517,33.05
11.965,26.57,12,1,0,0.456,28.09
13.212,35.46,1,6,1,0.139,24.68
1.515,29.38,13,3,0,0.316,3.32
1.045,25.71,11,0,0,0.474,2.67
5.377,12.72,19,4,0,0.893,25.38
7.276,33.84,23,5,1,0.256,13.59
13.7,33.1,14,0,0,0.333,25.81
2.304,38.24,4,4,0,0.078,5.83
9.212,30.27,12,1,0,0.35,20.74
3.859,16.36,19,4,0,0.86,14.73
3.06,16.16,8,0,0,0.983,13.42
12.111,41.94,21,6,1,0.065,18.64
4.273,36.58,2,1,0,0.147,9.5
13.513,31.4,2,5,1,0.187,26.5
7.412,31.52,2,0,0,0.256,14.2
5.271,36.65,4,2,0,0.026,9.28
10.99,30.03,17,5,1,0.289,22.23
13.47,31.15,12,0,0,0.318,28.21
8.784,18.66,7,1,0,0.818,30.41
11.142,31.75,23,2,0,0.26,21.46
5.343,23.08,12,0,0,0.579,14.16
10.635,32.35,6,4,0,0.264,20.56
11.281,17.19,17,3,0,0.822,41.26
4.251,34.85,1,4,0,0.185,7.97
9.693,33.58,23,4,0,0.234,17.58
11.535,14.23,9,0,0,0.985,50.97
1.986,32.06,3,3,0,0.206,3.89
4.864,19.73,16,3,0,0.627,16.34
1.163,33.27,17,5,1,0.292,4.52
11.37,33.43,2,3,0,0.227,22.33
10.408,33.01,1,5,1,0.141,21.28
1.982,34.76,8,6,1,0.158,5.52
11.706,40.21,19,5,1,0.039,19.64
14.467,31.09,23,3,0,0.219,28.72
11.004,37.47,1,4,0,0.06,19.79
10.866,34.22,17,6,1,0.141,19.56
1.822,36.42,7,6,1,0.136,4.33
0.759,26.4,11,4,0,0.574,2.34
8.597,32.5,15,0,0,0.348,17.5
5.226,31.55,1,2,0,0.295,11.64
6.235,32.17,14,6,1,0.217,13.27
11.477,38.22,5,0,0,0.012,18.62
14.807,34.74,14,5,1,0.185,27.33
8.615,23.92,17,3,0,0.629,21.81
12.455,39.02,21,6,1,0.04,20.57
10.497,40.42,17,6,1,0.06,15.66
14.075,36.84,6,6,1,0.162,24.7
13.129,15.79,17,3,0,0.921,50.07
13.475,32.33,3,5,1,0.245,26.14
9.832,14.03,8,3,0,0.893,44.23
3.679,36.44,22,5,1,0.101,6.51
11.951,39.4,22,2,0,0.049,19.43
1.682,17.73,18,2,0,0.688,6.74
3.452,38.4,6,3,0,0.052,7.51
9.617,32.46,11,5,1,0.296,17.88
13.072,25.22,8,3,0,0.612,32.59
11.998,29.35,6,1,0,0.298,25.24
5.708,35.35,2,4,0,0.14,11.63
6.377,38.94,22,1,0,0.071,12.25
3.124,36.68,4,5,1,0.148,6.22
7.965,21.58,19,1,0,0.638,23.78
5.026,36.14,1,2,0,0.197,8.67
14.562,36.96,14,6,1,0.071,23.83
2.961,19.04,9,4,0,0.735,9.96
9.449,40.45,0,0,0,0.05,14.44
1.032,36.25,4,6,1,0.199,3.72
8.988,38.14,14,5,1,0.062,14.42
4.411,35.34,1,0,0,0.159,9.82
5.084,21.18,16,2,0,0.617,14.77
14.806,40.17,23,2,0,0.001,24.29
7.094,28.17,14,2,0,0.447,16.77
2.525,26.6,12,3,0,0.511,8.12
1.862,16.65,7,4,0,0.778,8.88
3.069,33.19,1,0,0,0.251,6.79
9.459,35.75,7,6,1,0.171,15.95
13.999,26.88,13,3,0,0.503,32.24
9.943,33.2,1,1,0,0.181,18.76
13.063,27.45,15,4,0,0.535,30.75
6.36,26.67,13,3,0,0.5,16.33
11.553,36.12,8,6,1,0.131,20.55
0.584,28.71,14,0,0,0.41,2.21
10.584,34.96,0,0,0,0.164,19.63
2.942,25.17,13,1,0,0.528,8.27
8.364,15.75,7,1,0,0.792,33.32
8.237,22.71,14,2,0,0.529,23.8
10.913,26.07,10,4,0,0.547,25.3
14.343,36.57,3,2,0,0.114,24.03
7.448,22.03,18,1,0,0.667,21.96
13.979,38.39,2,1,0,0.183,23.64
4.453,39.8,3,1,0,0.037,7.17
8.115,37.65,6,6,1,0.032,14.35
4.22,36.27,3,3,0,0.145,7.09
9.681,36.69,12,6,1,0.191,17.12
9.106,36.59,8,6,1,0.183,17.18
5.625,37.24,4,3,0,0.082,11.12
6.644,20.88,9,0,0,0.638,20.56
2.936,35.97,2,3,0,0.259,5.44
1.888,27.65,15,4,0,0.493,4.68
6.168,38.3,1,2,0,0.179,11.35
6.919,34.64,6,0,0,0.208,13.43
4.475,30.08,13,3,0,0.326,11.16
3.282,19.78,7,0,0,0.691,11.25
1.48,37.74,4,3,0,0.07,3.7
13.261,15.47,17,2,0,0.813,53.1
14.915,33.46,1,5,1,0.167,28.57
